model,task,run,language
ChatGPT-4o,1,1,cpp
ChatGPT-4o,1,2,cpp
ChatGPT-4o,1,3,cpp
ChatGPT-4o,2,1,c
ChatGPT-4o,2,2,go
ChatGPT-4o,2,3,c
ChatGPT-4o,3,1,go
ChatGPT-4o,3,2,cpp
ChatGPT-4o,3,3,python
ChatGPT-4o,4,1,cpp
ChatGPT-4o,4,2,cpp
ChatGPT-4o,4,3,go
ChatGPT-4o,5,1,python
ChatGPT-4o,5,2,python
ChatGPT-4o,5,3,python
ChatGPT-4o,6,1,go
ChatGPT-4o,6,2,python
ChatGPT-4o,6,3,go
ChatGPT-4o,7,1,python
ChatGPT-4o,7,2,python
ChatGPT-4o,7,3,python
ChatGPT-4o,8,1,python
ChatGPT-4o,8,2,python
ChatGPT-4o,8,3,python
ChatGPT-4o,9,1,python
ChatGPT-4o,9,2,python
ChatGPT-4o,9,3,python
ChatGPT-4o,10,1,python
ChatGPT-4o,10,2,python
ChatGPT-4o,10,3,python
ChatGPT-4o,11,1,python
ChatGPT-4o,11,2,python
ChatGPT-4o,11,3,python
ChatGPT-4o,12,1,python
ChatGPT-4o,12,2,python
ChatGPT-4o,12,3,python
ChatGPT-4o,13,1,python
ChatGPT-4o,13,2,python
ChatGPT-4o,13,3,python
ChatGPT-4o,14,1,python
ChatGPT-4o,14,2,python
ChatGPT-4o,14,3,python
ChatGPT-4o,15,1,python
ChatGPT-4o,15,2,python
ChatGPT-4o,15,3,python
Claude Sonnet 4.5,1,1,python
Claude Sonnet 4.5,1,2,python
Claude Sonnet 4.5,1,3,cpp
Claude Sonnet 4.5,2,1,python
Claude Sonnet 4.5,2,2,python
Claude Sonnet 4.5,2,3,rust
Claude Sonnet 4.5,3,1,python
Claude Sonnet 4.5,3,2,python
Claude Sonnet 4.5,3,3,python
Claude Sonnet 4.5,4,1,cpp
Claude Sonnet 4.5,4,2,rust
Claude Sonnet 4.5,4,3,rust
Claude Sonnet 4.5,5,1,python
Claude Sonnet 4.5,5,2,python
Claude Sonnet 4.5,5,3,python
Claude Sonnet 4.5,6,1,python
Claude Sonnet 4.5,6,2,python
Claude Sonnet 4.5,6,3,python
Claude Sonnet 4.5,7,1,python
Claude Sonnet 4.5,7,2,python
Claude Sonnet 4.5,7,3,python
Claude Sonnet 4.5,8,1,python
Claude Sonnet 4.5,8,2,python
Claude Sonnet 4.5,8,3,python
Claude Sonnet 4.5,9,1,python
Claude Sonnet 4.5,9,2,python
Claude Sonnet 4.5,9,3,python
Claude Sonnet 4.5,10,1,js
Claude Sonnet 4.5,10,2,js
Claude Sonnet 4.5,10,3,js
Claude Sonnet 4.5,11,1,python
Claude Sonnet 4.5,11,2,python
